episod,total_reward
1,-15.373464075424298
2,-15.440090133677066
3,-10.349332692730645
4,0.7996501886758232
5,-3.567422355786377
6,-0.7402054146071748
7,3.2285823141948633
8,-3.5664570485198617
9,-1.6619189106933554
10,12.11545873303961
11,5.1207105910054835
12,3.432874173972195
13,8.853856134392718
14,2.045533968691707
15,6.5405640945833845
16,11.927089077812852
17,10.76519935118047
18,10.688072846383829
19,-7.226183223501318
20,-0.4958888957516212
21,10.33357437815992
22,12.047594938368466
23,12.219092683018324
24,8.55410427102909
25,2.478014577764089
26,12.576233808256902
27,10.624976721264524
28,8.857187290586722
29,7.0037287101545616
30,4.741280654658333
31,5.333031255044087
32,6.512231810571343
33,4.221533194817095
34,-0.6228774693121792
35,-0.7441499434496244
36,1.6256441657235143
37,1.2956593545045685
38,12.189945013844778
39,11.742875493244831
40,13.385335517125142
41,25.08105004379975
42,23.592991938480665
43,21.58786757935048
44,19.860122252236494
45,18.37064334339647
46,21.649138051711454
47,17.0558290861671
48,16.273553262734104
49,16.79601547898327
50,15.205913942825507
51,14.056259844349334
52,13.983990025886179
53,13.958915275824772
54,13.930117598610991
55,13.926005208007972
56,13.597642051882357
57,13.534234038798193
58,14.044376400103687
59,13.85716569745906
60,13.855037890429713
61,13.382744917619366
62,13.811153513093913
63,14.22353050894574
64,14.268296984115402
65,14.344221122320999
66,13.530680106200649
67,10.775868133033622
68,-1.564286823170221
69,5.803501553767401
70,12.782103078825934
71,16.31411736730058
72,16.71205956994538
73,-57.79360337518351
74,-33.88834073987468
75,13.75059571838149
76,6.02519499482689
77,13.234288994592529
78,10.762426009836485
79,15.097692639227114
80,5.1984285582928145
81,-5.681950951687675
82,3.4593852709871733
83,-2.0294195758620575
84,-2.8552983665831313
85,-3.0049969970909984
86,6.425576548255332
87,9.894847453240072
88,11.634532533359863
89,11.123971007989066
90,15.294995436455636
91,15.799676485271682
92,7.484958323109161
93,-4.46728017453227
94,-5.474104396290972
95,-5.462103420930756
96,-4.204536214906998
97,0.3024326421958392
98,0.3301119009063065
99,0.5545121952830563
100,13.172476880152125
101,12.36543561597567
102,-22.7693042895543
103,-57.201962048945695
104,-57.34868222658182
105,-124.9012363606271
106,-2.4706251243127326
107,-19.449851842049192
108,-3.2794621815483325
109,-3.3076878633181153
110,-66.90011191785553
111,-79.37168033317826
112,3.0885821035840806
113,20.220208419226328
114,2.761894657648609
115,-21.495617933095556
116,-12.841140940932627
117,-25.974180279425237
118,-30.88331564923351
119,-30.624059746371103
120,-32.98924333019717
121,-18.068121429610855
122,-2.4377379660968437
123,-2.189680598414675
124,-5.177133729834548
125,-3.7176513444145023
126,-3.168410995353277
127,-3.824458439482683
128,-4.661665008975962
129,-4.586122390111132
130,-7.792592643903777
131,-3.1320851088619186
132,-5.077331664462417
133,-5.8617804168178935
134,-2.489859489456528
135,-7.03633878809006
136,-8.333199179995702
137,-6.516619683400862
138,-2.565915392133828
139,-4.3108913786133485
140,-6.889726086825824
141,1.0998525263857353
142,7.224838627099043
143,3.4942677107134976
144,-1.1045212768498658
145,-1.9504376608537335
146,-0.6434444590916968
147,-15.383679604018571
148,7.631895864500944
149,-1.8870895542520074
150,9.532883896419204
151,-0.4702863250393534
152,15.47880872263299
153,-6.121963301405259
154,-12.87519153156544
155,-3.2297302040142934
156,-2.7793323579494587
157,-1.8320320211290877
158,-5.956846152664577
159,-5.462921756741731
160,-4.752752297665075
161,-4.9794380269282215
162,-7.350479932232996
163,-4.385124977817928
164,-4.028011680156382
165,-7.087268632347589
166,-8.470092069013347
167,-5.602864151206376
168,-4.659909975386647
169,-32.559637521882735
170,-30.949533979300103
171,-29.269854214020754
172,-29.265670549572214
173,-32.83486568228245
174,-32.42886927234342
175,-32.644639241929085
176,-32.55663613073806
177,-32.7598754583353
178,-30.432598926086406
179,-30.26012264103282
180,-28.44963779962364
181,-30.129162199802884
182,-28.046848522563756
183,-30.867800429680056
184,-36.5256936305241
185,-29.79237821885556
186,-11.489635962063586
187,-24.562901829160154
188,-187.62531956836665
189,-94.30360698485961
190,-207.25361629062056
191,-96.30688824418732
192,-99.31294366656
193,-80.38714898863279
194,-32.017765683881976
195,-47.499256750505594
196,-35.5516166560414
197,-31.94502615068356
198,-34.65560803993444
199,-34.521520953246046
200,-24.82138180269748
201,-17.468657387505246
202,-13.269179364999117
203,-6.047114415160621
204,-32.640040263497866
205,-203.03223383236164
206,-107.46427490914967
207,8.862017745934718
208,7.496032240900746
209,17.9087303805437
210,11.489968967662787
211,4.916657988476924
212,21.152237034033973
213,9.03452181828435
214,4.013932125290474
215,13.097822664797107
216,-0.06230870310388781
217,38.803491356947916
218,11.115867512786505
219,-3.9051866718683685
220,2.3024568084854913
221,-31.231423013363273
222,-63.38113889340372
223,-18.520730366332952
224,27.160391271393472
225,-6.346461034368222
226,-25.474054384217283
227,26.008628993077807
228,-2.798774024224242
229,1.8153612425693737
230,-13.849343004235173
231,-14.55905473403644
232,-26.20825646942359
233,-19.810301080349543
234,-33.05855565916362
235,-13.653745637861432
236,-33.091223937845314
237,-0.6865987164059604
238,-14.912922413754067
239,-48.40942457140517
240,-79.94138329035519
241,-4.803129072042864
242,-42.67935392479097
243,-48.76924716904696
244,-39.5352237135548
245,-60.43126620249372
246,-68.1949160038383
247,-128.58237052967067
248,-158.68782333199962
249,-4.889284908410069
250,-3.3886099818452777
251,5.963134239841391
252,4.219386106611367
253,-49.226297175076354
254,-12.437076578243119
255,9.305053195310734
256,1.37576339401879
257,12.782458988613762
258,-47.14823930862703
259,-166.9455153654737
260,-141.66993574166003
261,-173.72943345515364
262,-173.1274313826078
263,16.27207219329914
264,17.271849852731734
265,21.56721403256276
266,20.741756478719875
267,21.177162207336448
268,17.80909068154189
269,23.10028654069969
270,20.007216911442534
271,22.13200923214186
272,19.44114311493436
273,20.603492572724036
274,16.180453426947246
275,13.672528006435051
276,16.98735290804833
277,13.850281365719397
278,13.345096739029351
279,16.009822356173604
280,17.778524427565007
281,19.618224082534454
282,16.708532200737594
283,18.830492691539483
284,20.684366516392444
285,20.638174212980815
286,19.701529063659123
287,18.720707603093274
288,21.23276170205371
289,20.965057645601547
290,20.496251271924123
291,16.87757414244085
292,16.909922209008506
293,21.145127233521087
294,22.172074325674117
295,23.281783847633854
296,24.83242604657979
297,21.921969337620936
298,24.3995887587242
299,24.12391488687403
300,24.805063575255375
301,24.65691146629256
302,18.114190537591316
303,18.294954044643788
304,18.68985028529585
305,18.664807306548088
306,17.828182694547312
307,17.57090460613358
308,17.79875117728878
309,22.839088044683038
310,23.299218672682642
311,23.693919067272752
312,24.20813859593435
313,23.89515383617874
314,23.560622422869677
315,23.68782478815522
316,23.53500434025039
317,24.026024681524202
318,24.072801067870756
319,23.643889974792614
320,24.124902002314514
321,24.552663234227058
322,24.161604762493084
323,23.59564985144042
324,24.146857949665684
325,23.063822071659835
326,22.572169348580907
327,22.705647926336937
328,22.908626031096595
329,23.027937584209077
330,22.41805222940424
331,22.631920617690284
332,23.108696736448508
333,22.35341316676202
334,22.628560073795114
335,22.574855774819188
336,21.971389341035103
337,21.71413113541529
338,21.495391890689714
339,21.61132345797504
340,21.43559702950051
341,21.2342945392173
342,21.008094320638957
343,21.253458204915685
344,20.725622114042135
345,20.948552747213608
346,20.859538015024476
347,21.068710133686473
348,21.196771508103577
349,20.84172560150188
350,21.063382921669113
351,20.713965456296275
352,20.678688070224094
353,20.80682982430897
354,20.62963478442947
355,20.64717639977666
356,20.588724539743268
357,20.75513516041394
358,20.804199273078467
359,20.740736771138987
360,20.87114339198229
361,20.639593458910262
362,20.67078277230558
363,20.574134706377496
364,20.447650006324206
365,20.55018049450717
366,20.49993407609276
367,20.405161241072804
368,20.41595065760891
369,20.34290382583792
370,20.47411486815697
371,20.275432797967206
372,20.29223760836591
373,20.34039397826743
374,20.56941500206599
375,20.412528708614403
376,20.37190802028869
377,20.459104633212746
378,20.50820001476786
379,20.671212676652658
380,20.55294629341485
381,20.306443235408533
382,20.533281751512327
383,20.345895680438666
384,20.520994672675613
385,20.298115323743893
386,20.23985195460971
387,20.4125627426808
