time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.12494844194444e-08,-5.175076990490669e-08,10.00152560586694,6.282858378809049,6.282895429454747,0.0,1.38600585703748e-05,-1.4201295038094015e-05,0.050852111620095466,-0.019523070645650703,-0.016864382008633307,0.0,421.7751371936191,420.3164585342452,421.8335956136729,420.14471629711494
0.12000000000000001,1.1806732190955149e-05,-1.3694664952690966e-05,10.01036792161603,6.281638986780408,6.2821298511262444,0.0,0.00047899566681426913,-0.0005789080092821102,0.24386946410341798,-0.021973352117708803,-0.00560648278427047,0.0,465.2680463114527,466.14857360767235,465.3649681482709,465.17320689346053
0.18,6.803379281997948e-05,-9.34213338598358e-05,10.032409161129308,6.280108760514057,6.282177102616627,0.0,0.0014101343615787753,-0.0022533738065691664,0.4907644467346881,-0.03371183585966026,0.01121760634920634,0.0,480.41523333166845,481.6889914177726,482.0921047012214,481.2043958338557
0.23999999999999996,0.00017233705904828978,-0.0003058128854203208,10.066633158096325,6.278305798717138,6.282980180243779,0.0,0.0019844623941785914,-0.00503701996964427,0.6499572008092078,-0.023580907429581677,0.01740004601419236,0.0,454.7086066406157,455.20341938425275,455.7816594261744,456.59021456509396
0.3,0.0002914829899408909,-0.0007176582880529816,10.109319949090516,6.2770308052092325,0.0010143438572738361,0.0,0.001867193247335289,-0.008832138726186494,0.7728595089849633,-0.016954234593878674,0.025611121909118115,0.0,444.1271308697347,444.7999672990076,444.3936937377715,444.936465362088
0.36000000000000004,0.00037962946264721257,-0.0013646939899334823,10.156484562847645,6.275734467111459,0.0023473878589621577,0.0,0.000939354487996174,-0.01283902981805063,0.7992750952792783,-0.03307212873091194,0.014379519718366852,0.0,413.2582489351383,412.2672441334361,414.98930826537344,413.57219947011464
0.4200000000000001,0.0003867135568849524,-0.002288448606233922,10.206393740483113,6.273554573455977,0.0033358242807883798,0.0,-0.0007930149148196182,-0.018153104400455772,0.8643149450967701,-0.04380948448317451,0.020364096903564,0.0,425.9196382407099,426.4310216988788,426.9580896061369,426.0404582653509
0.48000000000000015,0.00026488704750296196,-0.00358879712139574,10.26145864455755,6.270830006945744,0.00442447430634374,0.0,-0.0033869999000141534,-0.02546648300907418,0.9710933883185549,-0.048817293405765766,0.013287289485009705,0.0,439.9660115370512,439.3797182798093,440.1998965619585,439.7841252319379
0.5400000000000001,-1.8743590664951835e-05,-0.00534279262248744,10.319589432896572,6.267935263584279,0.005532305561171569,0.0,-0.006151203177041745,-0.03325206381298932,0.9665995091247509,-0.04712678412629824,0.0272026565780395,0.0,402.857054307064,404.11317661510697,403.2036749196429,403.3546686478987
0.6000000000000002,-0.0005018146807669355,-0.007646065381299771,10.379456334353405,6.264990713615347,0.007217507160365955,0.0,-0.010110857647717828,-0.0438008475379139,1.0289038272693924,-0.05328893060143864,0.02979834212751995,0.0,425.3505068781451,425.57296213517304,426.33066933863876,425.8022768279603
0.6600000000000003,-0.001280083617316201,-0.010701413095368019,10.446272299404109,6.261424083254013,0.008685681798540124,0.0,-0.01601636670525729,-0.05841582305881625,1.1981236921787648,-0.07607267316232302,0.010808328432288886,0.0,459.85738688915075,458.35090359027254,460.7152041761837,458.9079204937064
0.7200000000000003,-0.0024122116812064637,-0.01464585062293834,10.519941250168706,6.256966027959928,0.0091536412391644,0.0,-0.02177504842599101,-0.07349683587765603,1.2574331909361203,-0.07097584826381545,0.000975457068361702,0.0,425.7498974122424,424.9077584427589,425.08871386521673,425.52060384184955
0.7800000000000004,-0.0039029550779706803,-0.01959796595638163,10.597799685407105,6.2523668211519166,0.009443434219241098,0.0,-0.02793377473072475,-0.09200671596254786,1.337744026546904,-0.09151629628942702,0.011598655588968419,0.0,432.28329430107755,433.17737975686737,432.7240751574094,430.98662524238324
0.8400000000000004,-0.005796262663497876,-0.025840098474162024,10.68306310065899,6.246634386226278,0.009641447430237093,0.0,-0.03523613922830387,-0.116683806577828,1.50414302525966,-0.10512570726007257,-0.023653739209298377,0.0,461.0122086572534,458.21856297788054,459.6859592222968,458.5987830269704
0.9000000000000005,-0.008115172532550825,-0.03366015482029039,10.777350782206819,6.240144368419468,0.008968849613956387,0.0,-0.04195505697740613,-0.14466244135876277,1.6385687899415307,-0.11506731230026244,0.006233360947943066,0.0,449.6742590601777,452.0886756333808,449.7087578262197,448.8925943758261
0.9600000000000005,-0.010816350701132413,-0.04324019846927138,10.878300328546919,6.233070325479254,0.008846424420755561,0.0,-0.048105978392564405,-0.17536634062920864,1.726252531038784,-0.12426688746222513,-0.028839525172148585,0.0,437.5706954002261,434.6413959086896,436.02958971408395,435.2475549302545
1.0200000000000005,-0.01386365866512763,-0.05473441291602148,10.983072971087614,6.225507198954693,0.006947463865786041,0.0,-0.053302005344846214,-0.20847034257030533,1.7660688000943459,-0.12988135870972478,-0.03796115819099299,0.0,421.1337759428488,420.3436559397136,420.86527229440406,420.3635875767804
1.0800000000000005,-0.017212814097881314,-0.06860973645425411,11.094466727080137,6.21760765228975,0.004698927789720031,0.0,-0.05807645705822788,-0.25491743099836284,1.9467077707320493,-0.13547095715683236,-0.0365219770317526,0.0,464.8290784787136,464.9412428466293,465.7598056306273,465.3073794653048
1.1400000000000006,-0.020792380961442,-0.08538776365297658,11.215675143528571,6.209515798366116,0.0024079457308916474,0.0,-0.060997126867529845,-0.3052165437245943,2.0932481817249378,-0.13367887038053883,-0.04173035171889718,0.0,456.242269434585,455.8255914530341,455.15809179933115,455.2851707122477
